storeNo,name,storeNoName,latitude,longitude,county,physicalStore,municipality,countryRegion,postalCity,postalCode
465,EP SURNADAL,465 EP SURNADAL,62.97002,8.71288,Møre og Romsdal,true,SURNADAL,Vestlandet,SURNADAL,6650
484,EP NORDFJORDEID,484 EP NORDFJORDEID,61.90967,6.00291,Vestland,true,STAD,Vestlandet,NORDFJORDEID,6770
488,EP KVALA,488 EP KVALA,59.43764,5.26845,Rogaland,true,HAUGESUND,Vestlandet,HAUGESUND,5516
445,EP SELJORD,445 EP SELJORD,59.48082,8.63031,Telemark,true,SELJORD,Østlandet,SELJORD,3840
599,EP TYNSET,599 EP TYNSET,62.27695,10.78023,Innlandet,true,TYNSET,Østlandet,TYNSET,2500
850,New Store,850 New Store,"","","","","","","",""
137,EP LENA,137 EP LENA,"","",Innlandet,"","",Østlandet,"",""
042,EP Holmestrand,042 EP Holmestrand,"","",Vestfold,"","",Østlandet,"",""
269,EP Leira,269 EP Leira,"","",Innlandet,"","",Østlandet,"",""
210,EP OTTA,210 EP OTTA,"","",Innlandet,"","",Østlandet,"",""
355,EP ÅNDALSNES,355 EP ÅNDALSNES,"","",Møre og Romsdal,"","",Vestlandet,"",""
025,EP JØRPELAND/STRAND,025 EP JØRPELAND/STRAND,"","",Rogaland,"","",Vestlandet,"",""
029,EP MANDAL,029 EP MANDAL,"","",Agder,"","",Sørlandet,"",""
